	x
21	((((((((Sahelanthropus_tchadensis:0.103603,(Australopithecus_anamensis:0.373129,(Australopithecus_afarensis:0.20538,(Australopithecus_garhi:0.234928,((Paranthropus_aethiopicus:0.065499,(Paranthropus_robustus:0.294173,Paranthropus_boisei:0.206332):0.126486):0.529408,(Australopithecus_sediba:0.026555,((Homo_habilis:0.19948,(Homo_sapiens:0.145179,Homo_ergaster:0.149957):0.095311):0.197955,((Australopithecus_africanus:0.246323,Kenyanthropus_platyops:0.195563):0.04882,Homo_rudolfensis:0.196096):0.237218):0.007402):0.148848):0.038835):0.130204):0.063623):0.127587):0.135869,Ardipithecus_ramidus:0.110599):0.100048,Pan_troglodytes:0.122523):0.119006,Gorilla_gorilla:0.081781):0.056341,Pongo_pygmaeus:0.29664):0.131974,Papio:0.118561):0.078427,Hylobates:0.137291):0,Colobus_guereza:0.129175);
22	((((((((Sahelanthropus_tchadensis:0.142261,((Australopithecus_afarensis:0.294612,(Australopithecus_garhi:0.165488,(((Paranthropus_robustus:0.459681,Paranthropus_boisei:0.108091):0.286598,Paranthropus_aethiopicus:0.031539):0.533241,(((Kenyanthropus_platyops:0.03815,Homo_rudolfensis:0.037541):0.230571,Australopithecus_africanus:0.3613):0.076577,((Homo_habilis:0.268725,(Homo_ergaster:0.021735,Homo_sapiens:0.139922):0.161245):0.321586,Australopithecus_sediba:0.005849):0.142286):0.177563):0.090459):0.054002):0.041472,Australopithecus_anamensis:0.245682):0.095785):0.06273,Ardipithecus_ramidus:0.273011):0.109501,Pan_troglodytes:0.086541):0.152555,Gorilla_gorilla:0.100916):0.055903,Pongo_pygmaeus:0.216088):0.141428,Papio:0.125361):0.195122,Hylobates:0.298304):0,Colobus_guereza:0.074281);
23	(((((((((Australopithecus_anamensis:0.245966,Ardipithecus_ramidus:0.060249):0.146478,((Australopithecus_garhi:0.108829,Australopithecus_afarensis:0.161296):0.016414,(Australopithecus_sediba:0.088469,(((Kenyanthropus_platyops:0.21296,((Homo_habilis:0.200857,(Homo_sapiens:0.165614,Homo_ergaster:0.07428):0.16264):0.07857,Homo_rudolfensis:0.118242):0.202413):0.049352,((Paranthropus_boisei:0.120447,Paranthropus_robustus:0.5036):0.194121,Paranthropus_aethiopicus:0.081351):0.596026):0.001077,Australopithecus_africanus:0.459762):0.015502):0.192238):0.082513):0.023994,Sahelanthropus_tchadensis:0.241278):0.094022,Pan_troglodytes:0.038427):0.142278,Gorilla_gorilla:0.138634):0.00574,Pongo_pygmaeus:0.373129):0.215883,Hylobates:0.079187):0.193627,Papio:0.180411):0,Colobus_guereza:0.052493);
24	(((((((Ardipithecus_ramidus:0.059967,(Sahelanthropus_tchadensis:0.191276,(Australopithecus_anamensis:0.349896,(Australopithecus_afarensis:0.228781,(((Paranthropus_aethiopicus:0.068477,(Paranthropus_robustus:0.364311,Paranthropus_boisei:0.227224):0.579781):0.597325,Australopithecus_garhi:0.166545):0.457489,(((Homo_ergaster:0.031949,Homo_sapiens:0.182807):0.076978,Homo_habilis:0.200856):0.154442,(Australopithecus_sediba:0.028293,(Australopithecus_africanus:0.448899,(Kenyanthropus_platyops:0.002822,Homo_rudolfensis:0.210898):0.171121):0.217208):0.10657):0.275506):0.135602):0.205264):0.05484):0.041661):0.107989,Pan_troglodytes:0.157798):0.089118,Gorilla_gorilla:0.216592):0.106114,Pongo_pygmaeus:0.375354):0.343431,Papio:0.067756):0.093712,Hylobates:0.259822):0,Colobus_guereza:0.132098);
25	(((((((Ardipithecus_ramidus:0.201138,(Australopithecus_anamensis:0.163724,((((Paranthropus_robustus:0.2491,Paranthropus_boisei:0.178456):0.193594,Paranthropus_aethiopicus:0.052236):0.920483,Australopithecus_afarensis:0.096468):0.080692,(Australopithecus_garhi:0.268518,(Australopithecus_africanus:0.4278,(Kenyanthropus_platyops:0.135121,(Australopithecus_sediba:0.010864,((Homo_habilis:0.216976,(Homo_sapiens:0.128129,Homo_ergaster:0.010835):0.062077):0.148406,Homo_rudolfensis:0.218017):0.194017):0.139776):0.058996):0.027673):0.176305):0.181205):0.134182):0.069632,Sahelanthropus_tchadensis:0.16787):0.128087,Pan_troglodytes:0.084274):0.060658,(Pongo_pygmaeus:0.279369,Gorilla_gorilla:0.172964):0.015359):0.355416,Papio:0.184056):0.052477,Hylobates:0.307576):0,Colobus_guereza:0.09861);
26	(((((((Ardipithecus_ramidus:0.162922,(((Australopithecus_garhi:0.05835,(Australopithecus_afarensis:0.223484,(Australopithecus_africanus:0.323298,(Australopithecus_sediba:0.043556,((Homo_rudolfensis:0.071668,Kenyanthropus_platyops:0.066919):0.169847,(Homo_habilis:0.215786,(Homo_ergaster:0.007719,Homo_sapiens:0.188477):0.186764):0.150986):0.150884):0.14281):0.302572):0.108633):0.034911,(Australopithecus_anamensis:0.118863,(Paranthropus_aethiopicus:0.023054,(Paranthropus_boisei:0.134865,Paranthropus_robustus:0.289829):0.195079):0.574556):0.10648):0.04789,Sahelanthropus_tchadensis:0.178984):0.09064):0.259645,Pan_troglodytes:0.031166):0.127832,Gorilla_gorilla:0.12516):0.160549,Pongo_pygmaeus:0.178728):0.055761,Papio:0.139998):0.239003,Hylobates:0.219013):0,Colobus_guereza:0.07692);
27	(((((((Ardipithecus_ramidus:0.185478,(Sahelanthropus_tchadensis:0.259312,((Australopithecus_anamensis:0.295405,Australopithecus_afarensis:0.212995):0.007761,((Australopithecus_garhi:0.055603,(Paranthropus_aethiopicus:0.132589,(Paranthropus_robustus:0.341739,Paranthropus_boisei:0.100539):0.317017):0.563291):0.075379,((Australopithecus_sediba:0.022458,(Homo_habilis:0.192282,(Homo_ergaster:0.103327,Homo_sapiens:0.128084):0.095705):0.249278):0.121324,(Australopithecus_africanus:0.259391,(Homo_rudolfensis:0.11359,Kenyanthropus_platyops:0.072011):0.25135):0.093498):0.318944):0.03832):0.109513):0.029929):0.110763,Pan_troglodytes:0.097487):0.098386,Gorilla_gorilla:0.257337):0.094656,Pongo_pygmaeus:0.354633):0.183018,Papio:0.124679):0.058515,Hylobates:0.266315):0,Colobus_guereza:0.076964);
28	((((((((Sahelanthropus_tchadensis:0.337122,Ardipithecus_ramidus:0.133857):0.010337,(Australopithecus_anamensis:0.298454,(Australopithecus_afarensis:0.148514,((Paranthropus_aethiopicus:0.002524,(Paranthropus_robustus:0.353796,Paranthropus_boisei:0.195767):0.155615):0.303762,(((Homo_rudolfensis:0.113989,Kenyanthropus_platyops:0.158487):0.13236,(Australopithecus_africanus:0.482776,(((Homo_ergaster:0.075043,Homo_sapiens:0.177382):0.064827,Homo_habilis:0.247181):0.156268,Australopithecus_sediba:0.038178):0.217982):0.006969):0.398785,Australopithecus_garhi:0.228539):0.143012):0.462735):0.150266):0.180687):0.128822,Pan_troglodytes:0.089638):0.189897,Pongo_pygmaeus:0.328797):0.011285,Gorilla_gorilla:0.21981):0.313408,Papio:0.18298):0.03424,Hylobates:0.205899):0,Colobus_guereza:0.06102);
29	((((((((((((Paranthropus_boisei:0.107709,Paranthropus_robustus:0.3497):0.144201,Paranthropus_aethiopicus:0.07101):0.542266,((Australopithecus_afarensis:0.096465,Australopithecus_garhi:0.028467):0.065194,((Australopithecus_sediba:0.047151,((Homo_habilis:0.411137,Homo_sapiens:0.181178):0.010982,Homo_ergaster:0.066022):0.351639):0.114988,(Homo_rudolfensis:0.131707,(Australopithecus_africanus:0.342253,Kenyanthropus_platyops:0.010128):0.029588):0.20864):0.166192):0.12732):0.152172,Australopithecus_anamensis:0.250643):0.101798,Ardipithecus_ramidus:0.148975):0.086109,Sahelanthropus_tchadensis:0.145932):0.1547,Pan_troglodytes:0.046898):0.088478,Pongo_pygmaeus:0.413005):0.006365,Gorilla_gorilla:0.165534):0.216916,Papio:0.104935):0.188334,Hylobates:0.158685):0,Colobus_guereza:0.114256);
30	((((((((Ardipithecus_ramidus:0.112121,(Australopithecus_anamensis:0.201066,(((Paranthropus_boisei:0.069091,Paranthropus_robustus:0.32329):0.424356,Paranthropus_aethiopicus:0.011266):0.765881,((((Kenyanthropus_platyops:0.247417,(Homo_rudolfensis:0.220223,(Homo_habilis:0.213704,(Homo_sapiens:0.187228,Homo_ergaster:0.029147):0.150293):0.122802):0.12816):0.094752,Australopithecus_sediba:0.18264):0.128846,(Australopithecus_garhi:0.062007,Australopithecus_africanus:0.344006):0.131129):0.07055,Australopithecus_afarensis:0.171291):0.088809):0.149064):0.124586):0.144055,Sahelanthropus_tchadensis:0.181439):0.229416,Pan_troglodytes:0.055788):0.142731,Gorilla_gorilla:0.095773):0.084562,Pongo_pygmaeus:0.240209):0.127254,Hylobates:0.097061):0.152311,Papio:0.120055):0,Colobus_guereza:0.065891);
