	x
517	((((((((Ardipithecus_ramidus:0.092737,(((Australopithecus_garhi:0.170129,(((Homo_rudolfensis:0.242564,(Australopithecus_africanus:0.376712,Kenyanthropus_platyops:0.142618):0.010835):0.154612,(Australopithecus_sediba:0.110453,(Homo_habilis:0.100503,(Homo_ergaster:0.049324,Homo_sapiens:0.173847):0.096243):0.122255):0.032656):0.160132,((Paranthropus_robustus:0.500065,Paranthropus_boisei:0.014186):0.408743,Paranthropus_aethiopicus:0.054852):0.842021):0.186934):0.081943,Australopithecus_afarensis:0.15159):0.141797,Australopithecus_anamensis:0.401476):0.130113):0.022847,Sahelanthropus_tchadensis:0.084249):0.159873,Pan_troglodytes:0.077147):0.000196,Gorilla_gorilla:0.239085):0.073944,Pongo_pygmaeus:0.349015):0.290087,Hylobates:0.105764):0.15594,Papio:0.196968):0,Colobus_guereza:0.058408);
518	((((((((((Australopithecus_afarensis:0.203226,(((Australopithecus_sediba:0.172039,Australopithecus_garhi:0.371365):0.015134,((Homo_habilis:0.159679,(Homo_ergaster:0.050407,Homo_sapiens:0.152816):0.232456):0.049123,((Homo_rudolfensis:0.289923,Kenyanthropus_platyops:0.080409):0.257776,(Paranthropus_boisei:0.154599,(Paranthropus_robustus:0.309078,Paranthropus_aethiopicus:0.308768):0.08949):0.486875):0.057406):0.017527):0.158328,Australopithecus_africanus:0.405595):0.105237):0.309918,Australopithecus_anamensis:0.218241):0.184485,Ardipithecus_ramidus:0.041157):0.135983,Sahelanthropus_tchadensis:0.115641):0.074321,Pan_troglodytes:0.132489):0.039513,Pongo_pygmaeus:0.272998):0.005286,Gorilla_gorilla:0.275835):0.235466,Papio:0.127724):0.072181,Hylobates:0.114148):0,Colobus_guereza:0.075646);
519	(((((((Ardipithecus_ramidus:0.163895,(Sahelanthropus_tchadensis:0.190214,((((((Homo_rudolfensis:0.102475,Kenyanthropus_platyops:0.041556):0.214739,(Homo_habilis:0.188,(Homo_ergaster:0.13882,Homo_sapiens:0.179346):0.119898):0.114536):0.070045,(Australopithecus_africanus:0.382927,Australopithecus_sediba:0.056036):0.007702):0.106128,((Paranthropus_boisei:0.185117,Paranthropus_robustus:0.418322):0.15385,Paranthropus_aethiopicus:0.029848):0.733319):0.236958,(Australopithecus_afarensis:0.194364,Australopithecus_garhi:0.191371):0.004745):0.160662,Australopithecus_anamensis:0.200751):0.058039):0.008573):0.21154,Pan_troglodytes:0.056699):0.09305,Gorilla_gorilla:0.138674):0.07684,Pongo_pygmaeus:0.291723):0.10086,Papio:0.132881):0.065434,Hylobates:0.217702):0,Colobus_guereza:0.044647);
520	(((((((((Australopithecus_anamensis:0.267405,((Australopithecus_afarensis:0.084011,(Australopithecus_africanus:0.202874,(((Homo_habilis:0.220735,(Homo_sapiens:0.167513,Homo_ergaster:0.029261):0.094714):0.040831,(Kenyanthropus_platyops:0.155424,Homo_rudolfensis:0.159253):0.222846):0.094812,Australopithecus_sediba:0.149076):0.216887):0.425157):0.156502,(Australopithecus_garhi:0.041799,(Paranthropus_aethiopicus:0.035274,(Paranthropus_robustus:0.56036,Paranthropus_boisei:0.026743):0.283449):0.670625):0.283974):0.132298):0.142445,Ardipithecus_ramidus:0.097989):0.053911,Sahelanthropus_tchadensis:0.287154):0.115215,Pan_troglodytes:0.032237):0.220216,Gorilla_gorilla:0.230839):0.108214,Pongo_pygmaeus:0.186245):0.162028,Papio:0.216351):0.090339,Hylobates:0.197421):0,Colobus_guereza:0.167197);
521	((((((((Ardipithecus_ramidus:0.118188,(Australopithecus_anamensis:0.218495,(((Australopithecus_garhi:0.175072,((Kenyanthropus_platyops:0.243092,(Australopithecus_africanus:0.219071,Homo_rudolfensis:0.180129):0.134423):0.148772,(((Homo_ergaster:0.055915,Homo_sapiens:0.17771):0.124768,Homo_habilis:0.190961):0.183472,Australopithecus_sediba:0.065979):0.058056):0.174034):0.111447,Australopithecus_afarensis:0.19949):0.120102,((Paranthropus_boisei:0.092084,Paranthropus_robustus:0.348293):0.150921,Paranthropus_aethiopicus:0.104911):0.659403):0.026022):0.158856):0.10233,Sahelanthropus_tchadensis:0.192215):0.094879,Pan_troglodytes:0.121347):0.109477,Gorilla_gorilla:0.168981):0.134629,Pongo_pygmaeus:0.168951):0.302908,Papio:0.089879):0.068632,Hylobates:0.120568):0,Colobus_guereza:0.147983);
522	((((((((Sahelanthropus_tchadensis:0.149483,(Australopithecus_anamensis:0.36555,((Australopithecus_afarensis:0.100975,(((Homo_rudolfensis:0.123476,Kenyanthropus_platyops:0.147753):0.172409,Australopithecus_africanus:0.279596):0.055975,(Australopithecus_sediba:0.070624,(Homo_habilis:0.089924,(Homo_sapiens:0.130429,Homo_ergaster:0.042105):0.146531):0.262219):0.024111):0.283793):0.015748,(((Paranthropus_boisei:0.128953,Paranthropus_robustus:0.349581):0.139988,Paranthropus_aethiopicus:0.087074):0.559264,Australopithecus_garhi:0.023858):0.283948):0.137658):0.156778):0.015328,Ardipithecus_ramidus:0.156225):0.066295,Pan_troglodytes:0.033832):0.026737,Gorilla_gorilla:0.139692):0.072393,Pongo_pygmaeus:0.279165):0.395148,Hylobates:0.106204):0.08703,Papio:0.166778):0,Colobus_guereza:0.156867);
523	(((((((((Australopithecus_anamensis:0.161987,((Australopithecus_garhi:0.37788,(((Australopithecus_sediba:0.007511,(Homo_habilis:0.093084,(Homo_sapiens:0.179548,Homo_ergaster:0.017121):0.122098):0.265147):0.032959,(Homo_rudolfensis:0.221277,(Australopithecus_africanus:0.235002,Kenyanthropus_platyops:0.024721):0.007912):0.180446):0.232173,Australopithecus_afarensis:0.137642):0.006026):0.153451,((Paranthropus_robustus:0.375445,Paranthropus_boisei:0.173588):0.205594,Paranthropus_aethiopicus:0.057288):0.810221):0.017711):0.233949,Sahelanthropus_tchadensis:0.170356):0.029673,Ardipithecus_ramidus:0.186268):0.156586,Pan_troglodytes:0.152783):0.100963,Gorilla_gorilla:0.075364):0.06086,Pongo_pygmaeus:0.313383):0.227294,Papio:0.086508):0.126489,Hylobates:0.133322):0,Colobus_guereza:0.07523);
524	(((((((((Australopithecus_anamensis:0.215687,((((Paranthropus_aethiopicus:0.056137,(Paranthropus_robustus:0.228656,Paranthropus_boisei:0.247124):0.241093):0.572404,Australopithecus_garhi:0.067161):0.189479,(Australopithecus_sediba:0.026066,(((Homo_sapiens:0.201658,Homo_ergaster:0.109909):0.053943,Homo_habilis:0.119924):0.259585,(Australopithecus_africanus:0.335827,(Kenyanthropus_platyops:0.152239,Homo_rudolfensis:0.195354):0.115172):0.094939):0.090327):0.020739):0.231426,Australopithecus_afarensis:0.208416):0.050792):0.195895,Ardipithecus_ramidus:0.07765):0.058434,Sahelanthropus_tchadensis:0.105532):0.169331,Pan_troglodytes:0.058932):0.067553,Gorilla_gorilla:0.196699):0.105486,Pongo_pygmaeus:0.232024):0.175721,Papio:0.087147):0.13667,Hylobates:0.130129):0,Colobus_guereza:0.036814);
525	((((((((Ardipithecus_ramidus:0.085843,Sahelanthropus_tchadensis:0.296687):0.025764,(((((Paranthropus_boisei:0.197601,Paranthropus_robustus:0.205601):0.218895,Paranthropus_aethiopicus:0.101244):0.556448,((Australopithecus_sediba:0.03747,(Australopithecus_africanus:0.541635,(Homo_rudolfensis:0.164241,Kenyanthropus_platyops:0.138447):0.099418):0.278473):0.013361,(Homo_habilis:0.181896,(Homo_sapiens:0.209932,Homo_ergaster:0.001117):0.17204):0.113011):0.196304):0.121129,(Australopithecus_afarensis:0.042837,Australopithecus_garhi:0.400703):0.059404):0.517062,Australopithecus_anamensis:0.353708):0.050578):0.256806,Pan_troglodytes:0.07946):0.05824,Gorilla_gorilla:0.161837):0.065361,Pongo_pygmaeus:0.302293):0.15451,Papio:0.205943):0.137588,Hylobates:0.16567):0,Colobus_guereza:0.060718);
526	((((((((Sahelanthropus_tchadensis:0.180796,(Australopithecus_anamensis:0.289123,(Australopithecus_afarensis:0.176185,((Paranthropus_aethiopicus:0.106565,(Paranthropus_robustus:0.276943,Paranthropus_boisei:0.082187):0.146604):0.473002,(((((Homo_rudolfensis:0.19303,Kenyanthropus_platyops:0.125055):0.135866,Australopithecus_africanus:0.339279):0.019129,((Homo_sapiens:0.307397,Homo_ergaster:0.041421):0.166111,Homo_habilis:0.199548):0.206684):0.053597,Australopithecus_sediba:0.022525):0.018817,Australopithecus_garhi:0.138323):0.036769):0.338334):0.191734):0.092602):0.029186,Ardipithecus_ramidus:0.136163):0.146193,Pan_troglodytes:0.067389):0.03136,Gorilla_gorilla:0.142101):0.087361,Pongo_pygmaeus:0.338659):0.231565,Papio:0.105977):0.061791,Hylobates:0.152499):0,Colobus_guereza:0.10511);
527	((((((((Ardipithecus_ramidus:0.146481,(Australopithecus_afarensis:0.14247,(Australopithecus_anamensis:0.357433,((Australopithecus_garhi:0.124518,(Australopithecus_sediba:0.137185,(((Homo_habilis:0.212734,Homo_ergaster:0.032207):0.010893,Homo_sapiens:0.182922):0.370911,((Kenyanthropus_platyops:0.026819,Homo_rudolfensis:0.116938):0.042935,Australopithecus_africanus:0.423248):0.203986):0.025953):0.157201):0.115523,(Paranthropus_aethiopicus:0.038378,(Paranthropus_boisei:0.108476,Paranthropus_robustus:0.464566):0.333798):1.04977):0.031808):0.024388):0.13028):0.021241,Sahelanthropus_tchadensis:0.167285):0.147946,Pan_troglodytes:0.089239):0.119823,Gorilla_gorilla:0.184176):0.073999,Pongo_pygmaeus:0.346559):0.097986,Papio:0.121277):0.093419,Hylobates:0.098391):0,Colobus_guereza:0.094828);
528	((((((((Sahelanthropus_tchadensis:0.243764,((((Paranthropus_boisei:0.181145,Paranthropus_robustus:0.458971):0.321171,Paranthropus_aethiopicus:0.033394):0.579524,Australopithecus_anamensis:0.044836):0.120184,(((Australopithecus_africanus:0.31835,((((Homo_ergaster:0.146011,Homo_sapiens:0.146519):0.144171,Homo_habilis:0.1872):0.158157,(Kenyanthropus_platyops:0.012832,Homo_rudolfensis:0.17659):0.216252):0.055424,Australopithecus_sediba:0.12143):0.159094):0.077725,Australopithecus_garhi:0.171391):0.133649,Australopithecus_afarensis:0.23628):0.102616):0.071441):0.032886,Ardipithecus_ramidus:0.065639):0.187234,Pan_troglodytes:0.047294):0.033022,Pongo_pygmaeus:0.253215):0.079382,Gorilla_gorilla:0.081411):0.224258,Papio:0.144431):0.062721,Hylobates:0.195482):0,Colobus_guereza:0.128446);
529	(((((((Ardipithecus_ramidus:0.060955,(Sahelanthropus_tchadensis:0.233025,((Australopithecus_afarensis:0.249877,(Australopithecus_garhi:0.289327,((Homo_habilis:0.112662,(Homo_ergaster:0.02856,Homo_sapiens:0.122984):0.145017):0.153199,(Australopithecus_sediba:0.030635,(Kenyanthropus_platyops:0.03701,(Homo_rudolfensis:0.056617,Australopithecus_africanus:0.413805):0.046469):0.132404):0.020082):0.328728):0.087968):0.121552,((Paranthropus_aethiopicus:0.096013,(Paranthropus_robustus:0.477223,Paranthropus_boisei:0.094619):0.177255):0.499846,Australopithecus_anamensis:0.121568):0.130978):0.112145):0.038829):0.101243,Pan_troglodytes:0.166043):0.04288,Gorilla_gorilla:0.226655):0.063896,Pongo_pygmaeus:0.45177):0.152483,Papio:0.2166):0.073849,Hylobates:0.134287):0,Colobus_guereza:0.209019);
530	(((((((Ardipithecus_ramidus:0.039164,((Sahelanthropus_tchadensis:0.08336,(Australopithecus_garhi:0.240157,((Paranthropus_boisei:0.073582,Paranthropus_robustus:0.534728):0.35741,Paranthropus_aethiopicus:0.021388):0.749248):0.235094):0.097893,((Australopithecus_afarensis:0.223847,(Australopithecus_sediba:0.047407,((Australopithecus_africanus:0.323747,(Homo_habilis:0.138624,(Homo_ergaster:0.017978,Homo_sapiens:0.297792):0.102336):0.150676):0.035693,(Kenyanthropus_platyops:0.168568,Homo_rudolfensis:0.326482):0.147689):0.049033):0.244808):0.027102,Australopithecus_anamensis:0.266197):0.101347):0.19827):0.297384,Pan_troglodytes:0.162491):0.166436,Gorilla_gorilla:0.069317):0.202296,Pongo_pygmaeus:0.316895):0.147344,Papio:0.066289):0.12148,Hylobates:0.223355):0,Colobus_guereza:0.073477);
531	(((((((((Sahelanthropus_tchadensis:0.060426,(Paranthropus_aethiopicus:0.037541,(Paranthropus_boisei:0.111908,Paranthropus_robustus:0.457787):0.203484):0.571385):0.214565,(Australopithecus_anamensis:0.129496,(Australopithecus_garhi:0.190111,(((((Homo_ergaster:0.023866,Homo_sapiens:0.223778):0.173973,Homo_habilis:0.110399):0.115654,Australopithecus_sediba:0.123267):0.022146,(Australopithecus_africanus:0.37005,(Kenyanthropus_platyops:0.23044,Homo_rudolfensis:0.085439):0.208109):0.042076):0.146941,Australopithecus_afarensis:0.116955):0.069995):0.026626):0.130664):0.091559,Ardipithecus_ramidus:0.066374):0.209626,Pan_troglodytes:0.03457):0.070005,Gorilla_gorilla:0.172274):0.116637,Pongo_pygmaeus:0.359023):0.295254,Hylobates:0.054126):0.140303,Papio:0.151747):0,Colobus_guereza:0.106748);
532	((((((((Ardipithecus_ramidus:0.200892,Sahelanthropus_tchadensis:0.12257):0.016767,(Australopithecus_anamensis:0.301827,((Australopithecus_garhi:0.396003,Australopithecus_afarensis:0.187643):0.002417,((Australopithecus_africanus:0.311376,(Kenyanthropus_platyops:0.298897,Homo_rudolfensis:0.089528):0.220714):0.066346,((Australopithecus_sediba:0.005207,((Paranthropus_boisei:0.202125,Paranthropus_robustus:0.338826):0.20196,Paranthropus_aethiopicus:0.111472):0.927823):0.12423,((Homo_ergaster:0.050137,Homo_sapiens:0.09803):0.085068,Homo_habilis:0.211379):0.187753):0.070945):0.142503):0.086033):0.261817):0.196964,Pan_troglodytes:0.1067):0.068133,Gorilla_gorilla:0.115918):0.181859,Pongo_pygmaeus:0.259888):0.374653,Hylobates:0.028615):0.179881,Papio:0.271235):0,Colobus_guereza:0.060034);
533	((((((((Ardipithecus_ramidus:0.110736,((Australopithecus_anamensis:0.11209,(Paranthropus_aethiopicus:0.00696,(Paranthropus_robustus:0.331318,Paranthropus_boisei:0.082549):0.237488):0.478737):0.048363,((Australopithecus_afarensis:0.170711,Australopithecus_garhi:0.082947):0.027134,(Australopithecus_africanus:0.347235,(((Kenyanthropus_platyops:0.161128,Homo_rudolfensis:0.238611):0.076473,(Homo_habilis:0.092725,(Homo_ergaster:0.026855,Homo_sapiens:0.123117):0.099971):0.124173):0.030568,Australopithecus_sediba:0.007258):0.074889):0.191258):0.08626):0.090511):0.015795,Sahelanthropus_tchadensis:0.260494):0.11736,Pan_troglodytes:0.066348):0.112685,Gorilla_gorilla:0.168062):0.018619,Pongo_pygmaeus:0.253333):0.315083,Papio:0.115821):0.068492,Hylobates:0.174035):0,Colobus_guereza:0.070653);
534	(((((((Ardipithecus_ramidus:0.092095,(((Australopithecus_afarensis:0.049087,(Australopithecus_garhi:0.138411,((Australopithecus_africanus:0.262806,(Kenyanthropus_platyops:0.155247,Homo_rudolfensis:0.050573):0.234093):0.04626,(Australopithecus_sediba:0.014073,((Paranthropus_aethiopicus:0.237063,(Paranthropus_robustus:0.325282,Paranthropus_boisei:0.070758):0.101715):0.597285,((Homo_sapiens:0.176052,Homo_ergaster:0.047403):0.051682,Homo_habilis:0.186333):0.236089):0.020515):0.047811):0.225999):0.112385):0.276908,Australopithecus_anamensis:0.28482):0.127531,Sahelanthropus_tchadensis:0.22398):0.062695):0.117325,Pan_troglodytes:0.031004):0.047381,Pongo_pygmaeus:0.478589):0.089541,Gorilla_gorilla:0.146133):0.229607,Papio:0.192661):0.065,Hylobates:0.128513):0,Colobus_guereza:0.092485);
535	(((((((Ardipithecus_ramidus:0.151758,(Sahelanthropus_tchadensis:0.104765,(Australopithecus_anamensis:0.167556,(Australopithecus_garhi:0.293118,(((Paranthropus_aethiopicus:0.088201,(Paranthropus_robustus:0.421394,Paranthropus_boisei:0.18542):0.044339):0.743354,(((Homo_sapiens:0.177753,Homo_ergaster:0.100962):0.205053,Homo_habilis:0.171195):0.132939,(Australopithecus_sediba:0.021776,((Homo_rudolfensis:0.299926,Kenyanthropus_platyops:0.121392):0.066015,Australopithecus_africanus:0.301835):0.236475):0.009534):0.081808):0.136958,Australopithecus_afarensis:0.152552):0.063308):0.106803):0.052274):0.059961):0.160647,Pan_troglodytes:0.029841):0.0948,Gorilla_gorilla:0.148425):0.106447,Pongo_pygmaeus:0.170061):0.178496,Papio:0.142962):0.110803,Hylobates:0.109468):0,Colobus_guereza:0.143227);
536	((((((((Sahelanthropus_tchadensis:0.163123,((Australopithecus_afarensis:0.291062,(((Australopithecus_sediba:0.072313,(Homo_habilis:0.145508,(Homo_sapiens:0.149567,Homo_ergaster:0.053556):0.073853):0.250203):0.125053,(Australopithecus_africanus:0.341865,(Kenyanthropus_platyops:0.156995,Homo_rudolfensis:0.157365):0.091328):0.040956):0.29051,(Australopithecus_garhi:0.008842,((Paranthropus_boisei:0.165927,Paranthropus_robustus:0.394865):0.080678,Paranthropus_aethiopicus:0.130934):0.938583):0.161):0.095379):0.04076,Australopithecus_anamensis:0.252047):0.037952):0.114976,Ardipithecus_ramidus:0.129714):0.171944,Pan_troglodytes:0.03437):0.115196,Gorilla_gorilla:0.166802):0.089997,Pongo_pygmaeus:0.364011):0.177541,Papio:0.174019):0.123969,Hylobates:0.150893):0,Colobus_guereza:0.045845);
537	((((((((Sahelanthropus_tchadensis:0.213182,(Australopithecus_anamensis:0.277703,(((Paranthropus_aethiopicus:0.041701,(Paranthropus_robustus:0.329754,Paranthropus_boisei:0.140392):0.348228):0.423687,Australopithecus_garhi:0.291604):0.073364,(Australopithecus_afarensis:0.15407,(Australopithecus_sediba:0.020353,((Homo_habilis:0.157139,(Homo_sapiens:0.244025,Homo_ergaster:0.074379):0.106547):0.27649,(Kenyanthropus_platyops:0.214922,(Australopithecus_africanus:0.384477,Homo_rudolfensis:0.165636):0.025081):0.226412):0.038671):0.272908):0.025595):0.138586):0.054008):0.21741,Ardipithecus_ramidus:0.084219):0.13476,Pan_troglodytes:0.161565):0.023852,Gorilla_gorilla:0.132539):0.07562,Pongo_pygmaeus:0.484481):0.288113,Hylobates:0.107742):0.11151,Papio:0.196007):0,Colobus_guereza:0.136176);
538	((((((((Ardipithecus_ramidus:0.080556,((Australopithecus_afarensis:0.31646,(((Australopithecus_sediba:0.166755,(Homo_habilis:0.133474,(Homo_sapiens:0.206312,Homo_ergaster:0.077304):0.142592):0.232441):0.04152,((Homo_rudolfensis:0.239882,Kenyanthropus_platyops:0.068032):0.195895,Australopithecus_africanus:0.25175):0.067798):0.438271,(Australopithecus_garhi:0.195262,((Paranthropus_robustus:0.352004,Paranthropus_boisei:0.020409):0.381224,Paranthropus_aethiopicus:0.0201):0.790786):0.059909):0.086857):0.031058,Australopithecus_anamensis:0.154146):0.147609):0.073961,Sahelanthropus_tchadensis:0.121189):0.118968,Pan_troglodytes:0.118129):0.084779,Gorilla_gorilla:0.149596):0.087134,Pongo_pygmaeus:0.208688):0.194516,Papio:0.153613):0.073435,Hylobates:0.169647):0,Colobus_guereza:0.062861);
539	(((((((((((Sahelanthropus_tchadensis:0.231514,Ardipithecus_ramidus:0.177196):0.111867,(Paranthropus_aethiopicus:0.041597,(Paranthropus_robustus:0.423577,Paranthropus_boisei:0.191357):0.232267):0.571813):0.006707,Australopithecus_anamensis:0.164138):0.076243,((((Australopithecus_africanus:0.265404,(Kenyanthropus_platyops:0.08157,Homo_rudolfensis:0.430203):0.216669):0.126196,Australopithecus_sediba:0.079048):0.005895,((Homo_sapiens:0.157094,Homo_ergaster:0.018613):0.166822,Homo_habilis:0.118178):0.185404):0.210223,Australopithecus_afarensis:0.141057):0.097309):0.092214,Australopithecus_garhi:0.150877):0.335302,Pan_troglodytes:0.069967):0.147325,Gorilla_gorilla:0.158719):0.075414,Pongo_pygmaeus:0.296013):0.236948,Papio:0.125037):0.12127,Hylobates:0.17076):0,Colobus_guereza:0.081495);
540	((((((Ardipithecus_ramidus:0.115864,(((Australopithecus_afarensis:0.337733,((((Australopithecus_africanus:0.34082,Kenyanthropus_platyops:0.052994):0.002417,Homo_rudolfensis:0.161684):0.136876,(Australopithecus_sediba:0.004019,(Homo_habilis:0.26514,(Homo_sapiens:0.197252,Homo_ergaster:0.056275):0.034612):0.115544):0.104497):0.211835,(Australopithecus_garhi:0.047202,((Paranthropus_robustus:0.399264,Paranthropus_boisei:0.188866):0.286426,Paranthropus_aethiopicus:0.150213):0.608592):0.23108):0.038223):0.275916,Sahelanthropus_tchadensis:0.146542):0.068828,Australopithecus_anamensis:0.200703):0.17241):0.12894,(Gorilla_gorilla:0.282566,Pan_troglodytes:0.072536):0.003574):0.155938,Pongo_pygmaeus:0.315329):0.225346,Papio:0.234864):0.038069,Hylobates:0.336461):0,Colobus_guereza:0.06196);
541	(((((((Ardipithecus_ramidus:0.083698,(Australopithecus_anamensis:0.107122,(Australopithecus_afarensis:0.179048,(((Australopithecus_africanus:0.360011,(Homo_rudolfensis:0.079741,Kenyanthropus_platyops:0.13627):0.391199):0.10555,(Australopithecus_sediba:0.012365,((Homo_ergaster:0.00695,Homo_sapiens:0.142048):0.173818,Homo_habilis:0.160234):0.191523):0.031284):0.204126,(Australopithecus_garhi:0.063805,((Paranthropus_boisei:0.05746,Paranthropus_robustus:0.311597):0.37146,Paranthropus_aethiopicus:0.023049):0.396787):0.105858):0.144731):0.070959):0.112037):0.098793,Sahelanthropus_tchadensis:0.173495):0.2851,Pan_troglodytes:0.13748):0.007753,(Pongo_pygmaeus:0.476246,Gorilla_gorilla:0.145614):0.090343):0.390524,Hylobates:0.063532):0.255082,Papio:0.131031):0,Colobus_guereza:0.030853);
542	((((((((Ardipithecus_ramidus:0.140677,(Australopithecus_anamensis:0.504836,(((Australopithecus_sediba:0.028452,((Australopithecus_africanus:0.354262,(Kenyanthropus_platyops:0.342013,Homo_rudolfensis:0.278386):0.044391):0.288153,((Homo_ergaster:0.053951,Homo_sapiens:0.152297):0.135285,Homo_habilis:0.28939):0.192134):0.050334):0.144621,(((Paranthropus_boisei:0.11611,Paranthropus_robustus:0.51153):0.166358,Paranthropus_aethiopicus:0.005985):0.457724,Australopithecus_garhi:0.030038):0.043845):0.087205,Australopithecus_afarensis:0.207372):0.128769):0.084747):0.024647,Sahelanthropus_tchadensis:0.189228):0.103974,Pan_troglodytes:0.053643):0.048211,Gorilla_gorilla:0.203079):0.112211,Pongo_pygmaeus:0.286771):0.173899,Papio:0.107787):0.065676,Hylobates:0.191939):0,Colobus_guereza:0.077498);
543	((((((((Sahelanthropus_tchadensis:0.128853,Ardipithecus_ramidus:0.15336):0.08841,((Australopithecus_anamensis:0.35386,(Australopithecus_afarensis:0.228182,(Australopithecus_africanus:0.32038,((Paranthropus_aethiopicus:0.161277,(Paranthropus_robustus:0.336016,Paranthropus_boisei:0.034491):0.198238):0.753116,(Australopithecus_sediba:0.001875,((Homo_rudolfensis:0.159589,Kenyanthropus_platyops:0.066256):0.119592,(Homo_habilis:0.273126,(Homo_sapiens:0.237804,Homo_ergaster:0.033376):0.216836):0.083995):0.073952):0.048929):0.018081):0.261594):0.040063):0.001571,Australopithecus_garhi:0.22456):0.181846):0.196479,Pan_troglodytes:0.142217):0.079671,Gorilla_gorilla:0.243642):0.114757,Pongo_pygmaeus:0.277121):0.112705,Papio:0.092241):0.201735,Hylobates:0.130362):0,Colobus_guereza:0.054006);
544	(((((((Ardipithecus_ramidus:0.0663,(((((Australopithecus_garhi:0.159682,(Australopithecus_sediba:0.011517,((Homo_habilis:0.278206,(Homo_ergaster:0.016137,Homo_sapiens:0.163275):0.129616):0.286605,(Australopithecus_africanus:0.360316,(Kenyanthropus_platyops:0.267336,Homo_rudolfensis:0.106697):0.043983):0.010528):0.076335):0.159526):0.104933,((Paranthropus_boisei:0.055871,Paranthropus_robustus:0.492195):0.231269,Paranthropus_aethiopicus:0.039464):0.426082):0.029774,Australopithecus_afarensis:0.247744):0.111655,Australopithecus_anamensis:0.150892):0.176248,Sahelanthropus_tchadensis:0.341259):0.03124):0.169153,Pan_troglodytes:0.085696):0.087063,Gorilla_gorilla:0.152122):0.060484,Pongo_pygmaeus:0.519829):0.146211,Papio:0.157182):0.146894,Hylobates:0.311467):0,Colobus_guereza:0.065734);
545	(((((((((((((Australopithecus_africanus:0.295824,(((Homo_sapiens:0.194889,Homo_ergaster:0.008223):0.13816,Homo_habilis:0.234166):0.275897,(Homo_rudolfensis:0.157007,Kenyanthropus_platyops:0.249869):0.032133):0.055146):0.041809,Australopithecus_sediba:0.050236):0.253983,(Paranthropus_aethiopicus:0.094462,(Paranthropus_boisei:0.130657,Paranthropus_robustus:0.495364):0.240455):0.701503):0.0586,(Australopithecus_garhi:0.047565,Australopithecus_afarensis:0.159065):0.182627):0.212534,Australopithecus_anamensis:0.311856):0.076961,Ardipithecus_ramidus:0.120026):0.070351,Sahelanthropus_tchadensis:0.180772):0.12251,Pan_troglodytes:0.144049):0.058685,Gorilla_gorilla:0.146385):0.330738,Pongo_pygmaeus:0.334743):0.183459,Papio:0.060227):0.068054,Hylobates:0.142848):0,Colobus_guereza:0.105232);
546	(((((((Ardipithecus_ramidus:0.133875,((((((Paranthropus_boisei:0.062097,Paranthropus_robustus:0.335413):0.241392,Paranthropus_aethiopicus:0.026561):0.758587,(Australopithecus_garhi:0.232228,(((Homo_habilis:0.192221,(Homo_sapiens:0.137144,Homo_ergaster:0.057129):0.185032):0.194986,(Australopithecus_africanus:0.297617,(Homo_rudolfensis:0.088113,Kenyanthropus_platyops:0.043752):0.101071):0.076711):0.155694,Australopithecus_sediba:0.040099):0.169153):0.059108):0.053321,Australopithecus_afarensis:0.135719):0.075773,Australopithecus_anamensis:0.257987):0.163571,Sahelanthropus_tchadensis:0.40449):0.054751):0.201667,Pan_troglodytes:0.11854):0.068305,Gorilla_gorilla:0.140222):0.058161,Pongo_pygmaeus:0.34504):0.2776,Hylobates:0.100582):0.181425,Papio:0.138085):0,Colobus_guereza:0.07357);
547	(((((((((Ardipithecus_ramidus:0.128208,Sahelanthropus_tchadensis:0.134455):0.05223,((Australopithecus_afarensis:0.230093,(Australopithecus_africanus:0.311825,(Australopithecus_sediba:0.034958,((Homo_rudolfensis:0.152611,Kenyanthropus_platyops:0.131382):0.100699,((Homo_habilis:0.069783,(Homo_ergaster:0.035252,Homo_sapiens:0.184062):0.224442):0.008016,(Paranthropus_aethiopicus:0.276926,(Paranthropus_boisei:0.033062,Paranthropus_robustus:0.494163):0.009549):0.913704):0.092725):0.090107):0.0697):0.118034):0.055107,Australopithecus_garhi:0.110442):0.181658):0.066657,Australopithecus_anamensis:0.15846):0.089286,Pan_troglodytes:0.100377):0.140119,Gorilla_gorilla:0.236652):0.07689,Pongo_pygmaeus:0.235456):0.19679,Papio:0.111459):0.144856,Hylobates:0.087016):0,Colobus_guereza:0.117355);
548	(((((((((Australopithecus_anamensis:0.150388,((Australopithecus_garhi:0.065627,((Kenyanthropus_platyops:0.035688,Homo_rudolfensis:0.085225):0.093037,((((Homo_habilis:0.265994,(Homo_ergaster:0.087015,Homo_sapiens:0.167582):0.047449):0.440693,Australopithecus_sediba:0.019606):0.02996,Australopithecus_africanus:0.480438):0.022917,(Paranthropus_aethiopicus:0.111363,(Paranthropus_boisei:0.100794,Paranthropus_robustus:0.272289):0.318822):0.582948):0.021141):0.258719):0.103834,Australopithecus_afarensis:0.154222):0.152864):0.17109,Ardipithecus_ramidus:0.085774):0.043677,Sahelanthropus_tchadensis:0.138462):0.133505,Pan_troglodytes:0.067934):0.186568,Gorilla_gorilla:0.123433):0.048364,Pongo_pygmaeus:0.233839):0.26543,Papio:0.149076):0.098373,Hylobates:0.214808):0,Colobus_guereza:0.140204);
